,Category,Class,Fuel Type,HIN,Hull Material,Hull Shape,Hull Warranty,Length,Location,Make,Pricing Details,Propulsion Type,Year,make-primary,model,price,year-primary
34," Motor Yachts, Sports Cruiser",Power,Diesel,,Fiberglass,Modified Vee,,60',"New Rochelle, NY",Viking Cockpit Sport,,Twin Inboard,2001,Viking Cockpit Sport,Naples Edition,"$695,000",2001
35," Flybridge, Express Cruiser",Power,Diesel,,Fiberglass,,,60',"Glen Cove, NY",Princess Viking Sport Cruisers,,Twin Inboard,1999,Princess Viking Sport Cruisers,Flybridge,"$379,000",1999
36, Flybridge,Power,Diesel,,Fiberglass,,,60',"Port Washington, NY",Princess,,Twin Inboard,2014,Princess,60 Flybridge,"$1,345,000",2014
37," Motor Yachts, Cruisers",Power,Diesel,,Fiberglass,Semi Displacement,,58',"Norwalk, CT",Hatteras,,Twin Inboard,1986,Hatteras,58 Motor Yacht,"$250,000",1986
38," Sports Fishing Boats, Saltwater Fishing",Power,Diesel,XYU1258FH091,Fiberglass,Modified Vee,,58',"North East, MD",Ocean Yachts,,Twin Inboard,1991,Ocean Yachts,58 Super Sport,"$229,000",1991
39, Motor Yachts,Power,Diesel,,Fiberglass,Modified Vee,,58',"Norwalk, CT",Sea Ray,,Twin Inboard,2006,Sea Ray,58 Sedan Bridge,"$579,000",2006
40, Motor Yachts,Power,Diesel,,Fiberglass,,,57',"Jersey City, NJ",Pacemaker,,Twin Inboard,1979,Pacemaker,57 Motor Yacht,"$149,900",1979
41, Express Cruiser,Power,,,Fiberglass,,,57',"Port Washington, NY",Sunseeker,,Other,2017,Sunseeker,57 Predator,Request,2017
42, High Performance Boats,Power,,,Fiberglass,,,57',"Port Washington, NY",Sunseeker,,Other,2016,Sunseeker,57 Predator,"$1,379,000",2016
43," Motor Yachts, Cruisers",Power,Diesel,,Fiberglass,,,57',"Haverstraw, NY",Viking,,Twin Inboard,2006,Viking,Sport Cruiser,"$735,000",2006
44," Sports Fishing Boats, Convertible Boats",Power,Diesel,,Fiberglass,Modified Vee,,56',"Laurence Harbor, NJ",Ocean Yachts,,Twin Inboard,2001,Ocean Yachts,Super Sport,"$339,000",2001
45," Flybridge, Motor Yachts",Power,Diesel,,Fiberglass,,,55',"Port Washington, NY",Sunseeker,,Twin Inboard,2016,Sunseeker,Manhattan 55,Request,2016
46," Flybridge, Sports Cruiser",Power,Diesel,,Fiberglass,,,65',"Glen Cove, NY",Princess,,Other,2016,Princess,S65 Sportbridge,"$2,795,000",2016
47," Convertible Boats, Sports Fishing Boats",Power,Diesel,,Fiberglass,,,65',Staten Island,Viking,,Other,2003,Viking,65 Convertible,"$995,000",2003
48," Express Cruiser, Motor Yachts",Power,Diesel,,Fiberglass,,,63',"Enroute To Staten Island, NY",Prestige Yachts,,Other,2018,Prestige Yachts,630 S,Request,2018
49, Express Cruiser,Power,Diesel,,Fiberglass,,,63',"Stamford, CT",Sea Ray,,Twin Inboard,1998,Sea Ray,630 Super Sun Sport,"$389,000",1998
